scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Female Protagonist,17,13,4,30,"Darker: Chapter 1, AIKO: AI Girlfriend 3D Life Sim, Island of Giant Trees"
all-games,raw-tag,Open World,15,15,0,30,"Komadori Inn, OddFauna : Secret of the Terrabeast, Brno Transit"
all-games,raw-tag,Bullet Hell,21,8,13,29,"Chronos Trap in Time, Explodey Towers, Corner Clash"
all-games,raw-tag,Nature,12,17,-5,29,"Black Hole Fishing, With Me: Aquatic Time, The Worlds of Narayana VR"
all-games,raw-tag,Dark Fantasy,14,15,-1,29,"Eternal Hunger, Xenonauts 2, Telluria: Forebodings"
all-games,raw-tag,Linear,9,19,-10,28,"Biped 2, Conviction, Quaxum Color Mayhem"
all-games,raw-tag,Crafting,11,17,-6,28,"100FRIENDS, Divide TCG, Dodge-imals"
all-games,raw-tag,3D Platformer,12,16,-4,28,"Sanechek: Lost Coins, 胶囊军团, Cheat Line"
all-games,raw-tag,Souls-like,12,16,-4,28,"FATAL FRAME II: Crimson Butterfly REMAKE, Miss Neko 3, DODORI"
all-games,raw-tag,LGBTQ+,15,13,2,28,"SILENT HILL: Townfall, Squeakross: Home Squeak Home, Five Nights at Freddy's: Help Wanted 2"
all-games,raw-tag,Turn-Based Tactics,14,14,0,28,"星火燎原, 100FRIENDS, The Bed Above My Head"
all-games,raw-tag,Cinematic,16,11,5,27,"Before the Silence Claims: In Absentia, Love vs Lust: The story of a Gigolo, Tomorrow's Love Puzzle"
all-games,raw-tag,Emotional,16,11,5,27,"POJANGMACHA : Korean Street Food Management Simulator, Sanechek: Lost Coins, AIKO: AI Girlfriend 3D Life Sim"
all-games,raw-tag,Magic,15,12,3,27,"Clockwillows™ Voy Quest, Shape of Dreams, Indignum"
all-games,raw-tag,Local Multiplayer,16,10,6,26,"サンリオキャラクターズ スマッシュフェスタ！, FiresOut!, Field of Heroes"
all-games,raw-tag,Violent,7,18,-11,25,"CardForge, Fear Faith, HOLY Intentions"
all-games,raw-tag,Hack and Slash,17,8,9,25,"封魔剑魂, Crazy odyssey, Rogue Drone Hunter"
all-games,raw-tag,PvP,16,9,7,25,"This Is Golf, 矮人炮弹 Dwarven Cannonball, Dodge-imals"
all-games,raw-tag,Turn-Based Strategy,15,10,5,25,"Eternal Hunger, 13 柱庭 Cabal 13, Black Jacket"
