dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,Asynchronous Multiplayer,asynchronous multiplayer,Other,4,2,2,6,0.0000,0.1250,0.1250,"One More 6ix, The Vault, 矮人炮弹 Dwarven Cannonball"
tag,raw-tag,Atmospheric,atmospheric,Atmosphere & Horror,58,29,29,87,0.8750,0.5000,-0.3750,"Drunkslop: Pub crawl COOP, Quack Hunters, Sanechek: Lost Coins"
tag,raw-tag,Auto Battler,auto battler,Other,9,8,1,17,0.0000,-0.1250,-0.1250,"Explodey Towers, Hydra TD, Joker Madness 🃏"
tag,raw-tag,Automation,automation,Other,9,4,5,13,0.3750,0.3750,0.0000,"Tower Networking Inc., Divine Orbit, Arcaneering: Beyond Automation"
tag,raw-tag,Automobile Sim,automobile sim,Other,3,2,1,5,0.1250,0.1250,0.0000,"Track Day: From Street to Circuit, Responding, One more time"
tag,raw-tag,Base Building,base building,Other,16,7,9,23,0.0000,0.1250,0.1250,"Global City, Prophet Margin, 矮人炮弹 Dwarven Cannonball"
tag,raw-tag,Baseball,baseball,Other,0,1,-1,1,0.0000,-0.1250,-0.1250,Indoor Baseball
tag,raw-tag,Battle Royale,battle royale,Other,3,1,2,4,0.0000,0.0000,0.0000,"Spellfall: Last Mage Standing, ALTERA, One more time"
tag,raw-tag,Beat 'em up,beat 'em up,Other,2,4,-2,6,0.0000,0.0000,0.0000,"Explosive Track - Crazy Action Arcade Racing, Marsh Into the New Dimension, Super Chaos"
tag,raw-tag,Bikes,bikes,Other,0,1,-1,1,0.0000,0.0000,0.0000,Beat For Speed
tag,raw-tag,Birds,birds,Other,1,0,1,1,0.1250,0.0000,-0.1250,Feathers Fallout
tag,raw-tag,Blood,blood,Other,1,0,1,1,0.0000,0.1250,0.1250,DIESELDOME: Oil & Blood
tag,raw-tag,Board Game,board game,Other,3,5,-2,8,-0.2500,0.0000,0.2500,"Chess Kingdom, 矮人炮弹 Dwarven Cannonball, Cartapli : Fold Quest"
tag,raw-tag,Boomer Shooter,boomer shooter,Other,3,1,2,4,0.2500,0.0000,-0.2500,"Silicon Scars, Thug Life, GRIMPS"
tag,raw-tag,Boss Rush,boss rush,Other,1,1,0,2,-0.1250,0.0000,0.1250,"Fear Faith, Anime FPS: Guns vs Magic"
tag,raw-tag,Boxing,boxing,Other,1,0,1,1,0.0000,0.0000,0.0000,Streets of Miami VR
tag,raw-tag,Building,building,Other,14,18,-4,32,-0.6250,0.0000,0.6250,"OddFauna : Secret of the Terrabeast, Power Of The Horde, 矮人炮弹 Dwarven Cannonball"
tag,raw-tag,Bullet Hell,bullet hell,Other,21,8,13,29,0.7500,0.6250,-0.1250,"Chronos Trap in Time, Explodey Towers, Corner Clash"
tag,raw-tag,Bullet Time,bullet time,Other,8,3,5,11,0.1250,0.1250,0.0000,"Last Dawn: Helios, Master of Chaos, Zombie Self-Cultivation"
